,Coniosporium_tulheliwenetii,Neophaeococcomyces_mojaviensis,Taxawa_tesnikishii,descriptions
IPR040250,1,1,1,Nucleobindin
IPR003721,1,1,1,Pantoate-beta-alanine ligase
IPR042176,1,1,1,"Pantoate-beta-alanine ligase, C-terminal domain"
IPR022284,1,1,1,Glycerol-3-phosphate O-acyltransferase/Dihydroxyacetone phosphate acyltransferase
IPR041728,1,1,1,"GPAT/DHAPAT, acyltransferase domain"
IPR045520,1,1,1,"GPAT/DHAPAT, C-terminal domain"
IPR005549,1,1,1,"Kinetochore protein Nuf2, N-terminal"
IPR038275,1,1,1,"Nuf2, N-terminal domain superfamily"
IPR041112,1,1,1,"Nuf2, DHR10-like domain"
IPR005746,1,1,1,Thioredoxin
IPR043573,1,1,1,Polyphosphoinositide phosphatase Fig4-like
IPR001155,3,6,5,"NADH:flavin oxidoreductase/NADH oxidase, N-terminal"
IPR044152,2,1,1,NADPH dehydrogenase YqjM-like
IPR004580,1,1,1,"DNA repair protein Rad18, fungi"
IPR039577,1,1,1,E3 ubiquitin-protein ligase Rad18
IPR005069,1,0,0,Nucleotide-diphospho-sugar transferase
IPR024420,1,1,1,"TRAPP III complex, Trs85"
IPR002646,1,1,1,"Poly A polymerase, head domain"
IPR032828,1,0,1,"tRNA nucleotidyltransferase/poly(A) polymerase, RNA and SrmB- binding domain"
IPR018870,1,1,1,Tti2 family
IPR006886,1,0,1,DNA-directed RNA polymerase III subunit Rpc5
IPR038727,1,2,0,"NadR/Ttd14, AAA domain"
IPR034300,1,1,0,NADP transhydrogenase beta-like domain
IPR007698,2,2,1,"Alanine dehydrogenase/pyridine nucleotide transhydrogenase, NAD(H)-binding domain"
IPR007886,2,2,1,"Alanine dehydrogenase/pyridine nucleotide transhydrogenase, N-terminal"
IPR006676,2,1,1,tRNA-splicing endonuclease
IPR006677,2,1,1,"tRNA intron endonuclease, catalytic domain-like"
IPR016690,1,0,0,"tRNA-splicing endonuclease, SEN34 subunit"
IPR036167,3,2,2,"tRNA intron endonuclease, catalytic domain-like superfamily"
IPR010655,1,1,1,"Pre-mRNA cleavage complex subunit Clp1, C-terminal"
IPR028606,1,1,0,Polyribonucleotide 5-hydroxyl-kinase Clp1
IPR032324,1,1,1,"Clp1, N-terminal beta-sandwich domain"
IPR038238,1,1,1,"Clp1, C-terminal domain superfamily"
IPR038239,1,1,1,"Clp1, N-terminal beta-sandwich domain superfamily"
IPR018606,1,1,1,Argonaute-binding protein 1
IPR001962,3,2,3,Asparagine synthase
IPR041545,1,1,1,"RABX5, catalytic core helical domain"
IPR011899,2,0,2,"Glutaredoxin, eukaryotic/virial"
IPR014025,2,0,2,Glutaredoxin subgroup
IPR000702,2,3,2,Ribosomal protein L6
IPR002359,1,1,1,"Ribosomal protein L6, conserved site-2"
IPR020040,2,3,2,"Ribosomal protein L6, alpha-beta domain"
IPR036789,2,3,2,"Ribosomal protein L6, alpha-beta domain superfamily"
IPR006047,14,14,6,"Glycosyl hydrolase, family 13, catalytic domain"
IPR032091,4,1,1,"Maltogenic Amylase, C-terminal"
IPR045857,6,4,1,"Oligo-1,6-glucosidase, domain 2"
IPR009038,4,4,4,GOLD domain
IPR015720,4,4,4,Transmembrane emp24 domain-containing protein
IPR036598,3,3,3,GOLD domain superfamily
IPR045099,1,1,1,PITH domain-containing protein 1-like
IPR025255,1,1,1,Protein of unknown function DUF4202
IPR006696,1,1,1,Protein of unknown function DUF423
IPR001453,3,0,3,MoaB/Mog domain
IPR005110,2,0,2,"MoeA, N-terminal and linker domain"
IPR005111,1,0,0,"MoeA, C-terminal, domain IV"
IPR036135,2,0,2,"MoeA, N-terminal and linker domain superfamily"
IPR036425,3,0,3,MoaB/Mog-like domain superfamily
IPR036688,1,0,0,"MoeA, C-terminal, domain IV superfamily"
IPR038987,2,0,2,Molybdopterin biosynthesis protein MoeA-like
IPR007252,1,1,1,Nuclear pore protein 84/107
IPR027179,1,0,0,Mature-T-Cell Proliferation I type
IPR003194,1,1,2,"Transcription initiation factor IIA, gamma subunit"
IPR009083,1,1,2,"Transcription factor IIA, alpha-helical domain"
IPR015871,1,1,2,"Transcription initiation factor IIA, gamma subunit, C-terminal"
IPR015872,1,1,2,"Transcription initiation factor IIA, gamma subunit, N-terminal"
IPR039632,1,1,0,Transmembrane protein 42
IPR000764,1,0,0,Uridine kinase-like
IPR037548,1,1,1,Bouquet formation protein 4
IPR000406,1,1,1,Rho protein GDP-dissociation inhibitor
IPR024792,1,1,1,Rho GDP-dissociation inhibitor domain superfamily
IPR026740,1,1,1,AP-3 complex subunit beta
IPR030231,1,1,1,GPN-loop GTPase 2
IPR021460,2,1,0,Protein of unknown function DUF3112
IPR021625,1,1,1,"PI31 proteasome regulator,  N-terminal"
IPR045128,1,1,1,Proteasome inhibitor PI31-like
IPR002730,1,1,1,Ribonuclease P protein subunit Rpp29/RNP1
IPR016848,1,1,1,Ribonuclease P/MRP subunit Rpp29
IPR023534,1,1,1,Rof/RNase P-like
IPR023538,1,1,1,Ribonuclease P protein subunit RNP1
IPR036980,1,1,1,Ribonuclease P/MRP subunit  Rpp29 superfamily
IPR000659,1,1,1,Pyridoxamine 5'-phosphate oxidase
IPR011576,2,4,1,"Pyridoxamine 5'-phosphate oxidase, putative"
IPR019576,1,1,1,"Pyridoxine 5'-phosphate oxidase, dimerisation, C-terminal"
IPR019740,1,1,1,"Pyridoxamine 5'-phosphate oxidase, conserved site"
IPR002759,1,1,1,RNase P subunit Pop5/Rpp14/Rnp2-like
IPR016819,1,0,0,Ribonuclease P/MRP protein subunit Pop5
IPR038085,1,1,1,RNase P subunit Pop5/Rpp14/Rnp2-like domain superfamily
IPR004273,1,1,1,Dynein heavy chain region D6 P-loop domain
IPR013594,1,1,1,"Dynein heavy chain, tail"
IPR013602,1,1,1,"Dynein heavy chain, linker"
IPR024317,1,1,1,"Dynein heavy chain, AAA module D4"
IPR024743,1,1,1,"Dynein heavy chain, coiled coil stalk"
IPR035699,1,1,1,"Dynein heavy chain, hydrolytic ATP-binding dynein motor region"
IPR035706,1,1,1,"Dynein heavy chain, ATP-binding dynein motor region"
IPR041466,1,1,1,"Dynein heavy chain, AAA 5 extension domain"
IPR041658,1,1,1,Dynein heavy chain AAA lid domain
IPR042219,1,1,1,Dynein heavy chain AAA lid domain superfamily
IPR042222,1,1,1,"Dynein heavy chain, domain 2, N-terminal"
IPR042228,1,1,1,"Dynein heavy chain, linker, subdomain 3"
IPR043157,1,1,1,"Dynein heavy chain, AAA1 domain, small subdomain"
IPR034353,1,1,0,"ABT1/ESF2, RNA recognition motif"
IPR039119,2,1,2,ABT1/Esf2
IPR006845,4,2,3,"Pex, N-terminal"
IPR017375,1,1,1,Peroxisome assembly protein 12
IPR007064,1,1,1,"Nmd3, N-terminal"
IPR039768,1,1,1,Ribosomal export protein Nmd3
IPR040152,1,1,1,"ATPase synthesis protein 25, mitochondrial"
IPR007259,5,3,5,Gamma-tubulin complex component protein
IPR040457,5,3,5,"Gamma tubulin complex component, C-terminal"
IPR041470,5,2,5,"Gamma tubulin complex component protein, N-terminal"
IPR042241,5,3,5,"Gamma-tubulin complex component, C-terminal domain superfamily"
IPR001674,1,0,1,"GMP synthase, C-terminal"
IPR004739,1,0,1,"GMP synthase, glutamine amidotransferase"
IPR022310,2,2,2,NAD/GMP synthase
IPR022955,1,0,1,GMP synthase
IPR025777,1,0,1,GMP synthetase ATP pyrophosphatase domain
IPR025602,1,1,1,BCP1 family
IPR003653,5,3,4,"Ulp1 protease family, C-terminal catalytic domain"
IPR004192,1,1,1,"Cytochrome b-c1 complex subunit Rieske, transmembrane domain"
IPR005805,1,1,1,"Rieske iron-sulphur protein, C-terminal"
IPR006317,1,1,1,"Ubiquinol-cytochrome c reductase, iron-sulphur subunit"
IPR014349,1,1,1,Rieske iron-sulphur protein
IPR037008,1,1,1,"Cytochrome bc1 complex subunit Rieske, transmembrane domain superfamily"
IPR002589,2,1,2,Macro domain
IPR012580,2,1,2,NUC153
IPR039754,1,1,1,Pre-rRNA-processing protein Esf1
IPR014347,2,1,2,Tautomerase/MIF superfamily
IPR028116,1,1,0,"Tautomerase, cis-CaaD-like"
IPR001253,2,2,2,Translation initiation factor 1A (eIF-1A)
IPR006196,2,3,2,"RNA-binding domain, S1, IF1 type"
IPR039294,1,1,1,Probable RNA-binding protein EIF1AD
IPR007873,1,1,1,"Glycosyltransferase, ALG3"
IPR008238,1,1,1,"Chorismate mutase, AroQ class, eukaryotic type"
IPR036263,1,1,1,Chorismate mutase type II superfamily
IPR037039,1,1,1,"Chorismate mutase, AroQ class superfamily, eukaryotic"
IPR002092,1,1,1,"DNA-directed RNA polymerase, phage-type"
IPR024075,1,0,0,"DNA-directed RNA polymerase, helix hairpin domain superfamily"
IPR029262,1,1,1,"DNA-directed RNA polymerase, N-terminal"
IPR037159,1,1,1,"DNA-directed RNA polymerase, N-terminal domain superfamily"
IPR039965,2,1,1,Uncharacterized protein C3H7.08c
IPR011171,1,0,1,Glia maturation factor
IPR007815,1,0,1,Erythromycin esterase
IPR014622,1,0,1,"Uncharacterised conserved protein UCP036794, erythromycin esterase-type"
IPR024624,1,0,1,"Pyridoxamine 5'-phosphate oxidase, Alr4036 family, FMN-binding domain"
IPR022257,3,3,2,"10TM putative phosphate transporter, extracellular tail"
IPR002082,1,1,1,Aspartate carbamoyltransferase
IPR002474,2,1,2,"Carbamoyl-phosphate synthase small subunit, N-terminal domain"
IPR006130,2,2,2,Aspartate/ornithine carbamoyltransferase
IPR006131,2,2,2,"Aspartate/ornithine carbamoyltransferase, Asp/Orn-binding domain"
IPR006132,2,2,2,"Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding"
IPR006274,2,1,2,"Carbamoyl-phosphate synthase, small subunit"
IPR035686,2,2,2,"Carbamoyl-phosphate synthase small subunit, GATase1 domain"
IPR036480,2,1,2,"Carbamoyl-phosphate synthase small subunit, N-terminal domain superfamily"
IPR036901,2,2,2,Aspartate/ornithine carbamoyltransferase superfamily
IPR007854,1,1,1,Pre-mRNA polyadenylation factor Fip1 domain
IPR024882,1,0,1,Nucleoporin p58/p45
IPR008493,1,0,1,Hikeshi-like domain
IPR031318,1,0,1,OPI10 family
IPR031804,1,0,1,Domain of unknown function DUF4743
IPR005570,1,0,1,"RNA polymerase, Rpb8"
IPR008728,1,0,1,Elongator complex protein 4
IPR013767,1,2,3,PAS fold
IPR032691,2,3,3,"Mon2/Sec7/BIG1-like, HUS domain"
IPR002056,1,1,1,Protein import receptor MAS20
IPR023392,1,1,1,"Mitochondrial outer membrane translocase complex, Tom20 domain superfamily"
IPR032403,1,1,1,"Exocyst component Exo84, C-terminal"
IPR033961,1,1,1,Exocyst complex component Exo84
IPR042560,1,1,1,"Exocyst component Exo84, C-terminal, subdomain 2"
IPR042561,1,1,1,"Exocyst component Exo84, C-terminal, subdomain 1"
IPR036345,3,2,5,"Exoribonuclease, PH domain 2 superfamily"
IPR011687,1,1,1,Ribosome biogenesis protein Nop53/GLTSCR2
IPR002547,1,0,1,tRNA-binding domain
IPR012919,2,2,2,SUN domain
IPR045119,1,1,1,SUN domain-containing protein 1-5
IPR022596,1,1,2,"G protein-coupled receptor GPR1, C-terminal"
IPR023041,1,1,2,"Glucose receptor Git3, N-terminal"
IPR008594,1,1,1,Scavenger mRNA decapping enzyme DcpS/DCS2
IPR011145,1,1,1,"Scavenger mRNA decapping enzyme, N-terminal"
IPR000340,6,9,6,"Dual specificity phosphatase, catalytic domain"
IPR020422,5,9,6,Dual specificity protein phosphatase domain
IPR001226,1,0,0,"Flavodoxin, conserved site"
IPR013917,1,0,1,tRNA wybutosine-synthesis
IPR034556,1,0,1,S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase
IPR007736,2,3,1,Caleosin-related
IPR025444,2,2,4,Monooxygenase af470-like
IPR013931,1,1,1,"Svf1-like, N-terminal"
IPR033394,1,1,1,"Svf1-like, C-terminal"
IPR000407,3,2,2,Nucleoside phosphatase GDA1/CD39
IPR006674,3,5,4,HD domain
IPR017771,1,1,2,Cyanamide hydratase
IPR006408,2,2,2,"P-type ATPase, subfamily IIB"
IPR005679,1,1,0,"Ribosomal protein S12, bacterial-type"
IPR006032,2,2,1,Ribosomal protein S12/S23
IPR042528,1,1,1,"Translation initiation factor eIF-2B subunit alpha, N-terminal"
IPR008313,1,2,2,Metal-independent alpha-mannosidase
IPR013958,1,0,1,DASH complex subunit Dad1
IPR004911,1,1,1,Gamma interferon inducible lysosomal thiol reductase GILT
IPR006384,1,2,1,"HAD hydrolase, subfamily IA, Pyridoxal phosphate phosphatase-like"
IPR012466,2,0,0,"NECAP, PHear domain"
IPR008839,1,1,1,"Mitochondrial distribution and morphology family 33, fungi"
IPR039355,3,3,3,Transcription factor GATA
IPR013714,1,1,1,Golgi apparatus membrane protein TVP15
IPR025481,1,1,1,Cell morphogenesis protein C-terminal
IPR025614,1,1,1,Cell morphogenesis protein N-terminal
IPR029473,1,1,1,Cell morphogenesis central region
IPR039867,1,1,1,Protein furry/Tao3/Mor2
IPR023208,1,3,2,NADPH-cytochrome P450 reductase
IPR002015,2,1,2,Proteasome/cyclosome repeat
IPR016643,1,0,1,"26S proteasome regulatory complex, non-ATPase subcomplex, Rpn1 subunit"
IPR040892,1,0,1,"RPN1, N-terminal"
IPR041433,1,0,1,"26S proteasome non-ATPase regulatory subunit RPN1, C-terminal"
IPR015285,1,1,1,"RIO2 kinase winged helix domain, N-terminal"
IPR030484,1,1,1,Serine/threonine-protein kinase Rio2
IPR027054,1,0,1,Mannosyltransferase ALG2
IPR045162,2,1,1,Serine/threonine-protein kinase Vps15-like
IPR044640,1,1,1,U2 small nuclear ribonucleoprotein A'
IPR019167,1,1,2,mRNA decay factor PAT1 domain
IPR039900,1,1,1,Pat1-like
IPR005034,1,2,2,Dicer dimerisation domain
IPR038248,1,2,2,Dicer dimerisation domain superfamily
IPR007304,1,0,1,TAP46-like protein
IPR038511,1,0,1,TAP42/TAP46-like superfamily
IPR007483,1,0,1,Hamartin
IPR002099,1,2,1,"DNA mismatch repair protein family, N-terminal"
IPR013507,2,3,3,"DNA mismatch repair protein,  S5 domain 2-like"
IPR032189,1,1,1,"DNA mismatch repair protein Mlh1, C-terminal"
IPR040085,1,1,1,Protein MJ0674-like
IPR019128,1,1,1,Sister chromatid cohesion protein Dcc1
IPR032634,1,0,0,Gef2/Nod1 domain
IPR004499,1,1,1,"Proline-tRNA ligase, class IIa, archaeal-type"
IPR016061,1,1,1,"Proline-tRNA ligase, class II, C-terminal"
IPR017449,1,1,1,"Prolyl-tRNA synthetase, class II"
IPR033721,1,1,1,"Prolyl-tRNA synthetase, catalytic domain"
IPR002684,1,1,1,Biotin synthase/Biotin biosynthesis bifunctional protein BioAB
IPR006638,4,5,4,Elp3/MiaB/NifB
IPR010722,1,1,1,Biotin and thiamin synthesis-associated domain
IPR024177,1,1,1,Biotin synthase
IPR002699,1,0,1,"ATPase, V1 complex, subunit D"
IPR002500,2,2,1,Phosphoadenosine phosphosulphate reductase
IPR002880,1,0,1,"Pyruvate flavodoxin/ferredoxin oxidoreductase, pyrimidine binding domain"
IPR005117,2,1,2,Nitrite/Sulfite reductase ferredoxin-like domain
IPR006066,2,2,2,Nitrite/sulphite reductase iron-sulphur/sirohaem-binding site
IPR006067,2,2,2,Nitrite/sulphite reductase 4Fe-4S domain
IPR011786,1,0,1,"Sulphite reductase (NADPH) hemoprotein, beta subunit"
IPR036136,2,1,2,Nitrite/Sulfite reductase ferredoxin-like domain superfamily
IPR045854,2,2,2,Nitrite and sulphite reductase 4Fe-4S domain-like superfamily
IPR030667,1,1,1,NEDD8-activating enzyme E1 regulatory subunit APP-BP1
IPR004788,1,1,1,"Ribose 5-phosphate isomerase, type A"
IPR023209,2,3,2,D-amino-acid oxidase
IPR006885,1,0,1,"NADH dehydrogenase ubiquinone Fe-S protein 4, mitochondrial"
IPR038532,1,0,1,NADH dehydrogenase ubiquinone Fe-S protein 4-like superfamily
IPR044762,1,0,0,"DHX8/ Prp22, DEXH-box helicase domain"
IPR028084,1,1,0,"Folliculin-interacting protein, N-terminal domain"
IPR027244,1,1,1,Vacuolar membrane-associated protein Iml1
IPR045838,1,1,1,"DEPDC5 protein, C-terminal"
IPR008269,2,1,2,"Peptidase S16, Lon proteolytic domain"
IPR027065,2,3,2,Lon protease
IPR027501,1,0,1,"Lon protease homologue 2, peroxisomal"
IPR016219,1,0,1,"Phosphatidylethanolamine N-methyltransferase, fungi"
IPR005532,1,0,1,Sulfatase-modifying factor enzyme
IPR016187,2,0,1,C-type lectin fold
IPR017805,1,1,1,"SAM-dependent methyltransferase, EasF-type, putative"
IPR019257,1,1,1,"Histidine-specific methyltransferase, SAM-dependent"
IPR042095,1,0,1,Sulfatase-modifying factor enzyme superfamily
IPR019038,1,1,1,DNA polymerase delta subunit 3
IPR041913,1,1,1,DNA polymerase delta subunit 3 superfamily
IPR037431,1,1,1,"RNA exonuclease 4, DEDDh 3'-5' exonuclease domain"
IPR013924,1,1,0,"Ribonuclease H2, subunit C"
IPR025494,1,1,1,Protein of unknown function DUF4385
IPR011876,1,1,1,"Isopentenyl-diphosphate delta-isomerase, type 1"
IPR022577,1,1,1,"Tubulin-specific chaperone D, C-terminal"
IPR033162,2,1,1,Tubulin-folding cofactor D
IPR040706,2,1,2,"MYST, zinc finger domain"
IPR008049,1,1,1,DNA replication licensing factor Mcm6
IPR041024,1,1,1,"Mcm6, C-terminal winged-helix domain"
IPR021714,1,1,1,"Nucleolar pre-ribosomal-associated protein 1, N-terminal"
IPR032436,1,1,1,"Nucleolar pre-ribosomal-associated protein 1, C-terminal domain"
IPR039844,1,1,2,Nucleolar pre-ribosomal-associated protein 1
IPR007657,2,0,0,Glycosyltransferase 61
IPR004381,2,0,0,Glycerate kinase
IPR018193,2,0,0,"Glycerate kinase, flavodoxin-like fold"
IPR018197,2,0,0,"Glycerate kinase, restriction-enzyme-like fold"
IPR036129,2,0,0,Glycerate kinase superfamily
IPR024168,1,2,1,"Catalase, SrpA-type, predicted"
IPR045145,1,1,1,Chromatin assembly factor 1 subunit Cac2/CHAF1B/FAS2
IPR001412,8,11,10,"Aminoacyl-tRNA synthetase, class I, conserved site"
IPR024088,1,1,1,"Tyrosine-tRNA ligase, bacterial-type"
IPR032005,1,1,1,"Tyrosyl-tRNA synthetase, C-terminal"
IPR008811,1,1,1,Glycosyl hydrolases 36
IPR010613,1,1,1,Pescadillo
IPR039949,1,1,1,N-alpha-acetyltransferase 40
IPR009600,1,1,1,GPI transamidase subunit PIG-U
IPR038769,1,0,1,Maintenance of telomere capping protein 4
IPR011417,2,2,2,AP180 N-terminal homology (ANTH) domain
IPR013809,4,4,4,ENTH  domain
IPR014712,1,1,1,ANTH domain superfamily
IPR045192,1,1,1,Clathrin coat assembly protein AP180-like
IPR037898,1,1,1,NudC family
IPR004115,1,2,1,GAD-like domain superfamily
IPR004524,1,2,1,"Aspartate-tRNA ligase, type 1"
IPR019364,1,1,1,"Mediator complex, subunit Med8, fungi/metazoa"
IPR016817,1,1,1,Mannose-P-dolichol utilization defect 1 protein
IPR045159,1,1,1,WD repeat-containing protein DCAF7-like
IPR001148,2,1,1,Alpha carbonic anhydrase domain
IPR018338,1,0,0,"Carbonic anhydrase, alpha-class, conserved site"
IPR023561,2,1,1,"Carbonic anhydrase, alpha-class"
IPR036398,2,1,1,Alpha carbonic anhydrase domain superfamily
IPR041891,2,1,1,"Carbonic anhydrase, prokaryotic-like"
IPR005100,1,1,0,NGN domain
IPR006645,1,1,0,"NusG, N-terminal"
IPR017071,1,1,1,"Transcription elongation factor Spt5, eukaryote"
IPR022581,1,1,1,"Spt5 transcription elongation factor, N-terminal"
IPR036735,1,2,1,"NusG, N-terminal domain superfamily"
IPR039385,1,1,0,"NGN domain, eukaryotic"
IPR039659,1,1,1,Transcription elongation factor SPT5
IPR041973,1,1,0,"Spt5, KOW domain repeat 1"
IPR041975,1,1,1,"Spt5, KOW domain repeat 2"
IPR041976,1,1,1,"Spt5, KOW domain repeat 3"
IPR041977,1,1,1,"Spt5, KOW domain repeat 4"
IPR041978,1,1,0,"Spt5, KOW domain repeat 5"
IPR002740,1,1,1,EVE domain
IPR034110,1,1,1,LSM domain containing 1
IPR005711,1,0,1,"Ribosomal protein S5, eukaryotic/archaeal"
IPR018192,1,1,1,"Ribosomal protein S5, N-terminal, conserved site"
IPR011159,1,1,0,Phosphoprotein phosphatase PPZ/Ppq1
IPR031675,2,2,2,"Serine-threonine protein phosphatase, N-terminal"
IPR008576,1,1,1,Alpha-N-methyltransferase NTM1
IPR013902,1,0,0,Domain of unknown function DUF1773
IPR021369,2,2,2,Protein of unknown function DUF2985
IPR008476,1,1,0,"Protein PBDC1, metazoa/fungi"
IPR021148,1,1,1,Polysaccharide biosynthesis domain
IPR023139,1,1,1,PBDC1-like domain superfamily
IPR002480,1,2,1,"DAHP synthetase, class II"
IPR004018,1,1,1,RPEL repeat
IPR043451,1,1,1,Myocardin-like
IPR022880,1,1,1,DNA polymerase IV
IPR019540,1,1,1,Phosphatidylinositol-glycan biosynthesis class S protein
IPR001466,8,26,6,Beta-lactamase-related
IPR012338,8,30,6,Beta-lactamase/transpeptidase-like
IPR000903,1,1,1,Glycylpeptide N-tetradecanoyltransferase
IPR022676,1,1,1,"Glycylpeptide N-tetradecanoyltransferase, N-terminal"
IPR022677,1,1,1,"Glycylpeptide N-tetradecanoyltransferase, C-terminal"
IPR022678,1,1,1,"Glycylpeptide N-tetradecanoyltransferase, conserved site"
IPR037651,1,0,1,SWR1-complex protein 3
IPR004540,1,1,1,Translation elongation factor EFG/EF2
IPR009022,2,2,2,"Elongation factor G, domain III"
IPR031157,7,8,6,"Tr-type G domain, conserved site"
IPR035649,2,1,2,"EFG, domain V"
IPR045044,1,1,1,Elongation factor G1-like
IPR000630,2,2,2,Ribosomal protein S8
IPR035987,2,2,2,Ribosomal protein S8 superfamily
IPR001670,3,6,4,"Alcohol dehydrogenase, iron-type/glycerol dehydrogenase GldA"
IPR034786,1,1,1,Maleylacetate reductase
IPR039697,3,6,4,Iron-type alcohol dehydrogenase-like
IPR008814,1,1,1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1
IPR024706,1,1,2,"Peroxiredoxin, AhpC-type"
IPR045020,1,1,2,1-Cys peroxiredoxin
IPR001697,1,1,1,Pyruvate kinase
IPR015793,1,1,1,"Pyruvate kinase, barrel"
IPR015795,1,1,1,"Pyruvate kinase, C-terminal"
IPR015806,1,1,1,"Pyruvate kinase, insert domain superfamily"
IPR018209,1,1,1,"Pyruvate kinase, active site"
IPR036918,1,1,1,"Pyruvate kinase, C-terminal domain superfamily"
IPR006153,5,9,7,Cation/H+ exchanger
IPR005887,1,0,2,"Alpha-1,2-mannosidase, putative"
IPR012939,1,0,3,Glycosyl hydrolase family 92
IPR041371,1,0,2,Glycosyl hydrolase family 92 N-terminal domain
IPR027545,1,1,1,Kynurenine 3-monooxygenase
IPR002467,1,0,1,"Peptidase M24A, methionine aminopeptidase, subfamily 1"
IPR031615,1,0,1,MYND-like zinc finger
IPR003377,1,0,1,Cornichon
IPR033466,1,0,1,"Cornichon, conserved site"
IPR032847,1,0,1,Pre-mRNA-processing factor 17
IPR026941,1,1,1,F-box only protein 31
IPR045048,1,1,1,F-box only protein 31/39
IPR013897,2,1,2,Protein of unknown function DUF1769
IPR000433,3,6,3,"Zinc finger, ZZ-type"
IPR028846,1,1,2,Recoverin family
IPR043145,4,4,3,"Zinc finger, ZZ-type superfamily"
IPR019133,1,1,1,Mitochondrial inner membrane protein Mitofilin
IPR007272,1,1,0,Sulphur transport domain
IPR001044,1,1,1,"XPG/Rad2 endonuclease, eukaryotes"
IPR045318,1,1,1,Histone-lysine N-methyltransferase EZH1/2-like
IPR019979,1,1,1,"Ribosomal protein S17, conserved site"
IPR028333,1,1,1,"Ribosomal protein S17, archaeal/eukaryotic"
IPR032440,1,1,1,"40S ribosomal protein S11, N-terminal"
IPR013253,1,1,1,Spc7 kinetochore protein domain
IPR033338,1,1,1,Spc105/Spc7
IPR040850,1,1,0,"Knl1, C-terminal RWD domain"
IPR046351,1,1,1,U3 small nucleolar RNA-associated protein 4
IPR004206,1,0,1,mRNA triphosphatase Cet1-like
IPR033469,1,1,1,CYTH-like domain superfamily
IPR037009,1,0,1,mRNA triphosphatase Cet1-like superfamily
IPR040343,1,0,1,RNA 5'-triphosphatase Cet1/Ctl1
IPR002931,3,2,3,Transglutaminase-like
IPR018325,3,2,3,Rad4/PNGase transglutaminase-like fold
IPR019622,1,1,1,Rrn9 domain
IPR022357,2,2,1,"Major intrinsic protein, conserved site"
IPR030310,1,2,1,Medium/long-chain-fatty-acid--CoA ligase FadD17/FadD6-like
IPR001645,2,2,2,Folylpolyglutamate synthetase
IPR018109,2,2,2,"Folylpolyglutamate synthetase, conserved site"
IPR023600,1,1,1,"Folylpolyglutamate synthase, eukaryota"
IPR036565,2,2,2,"Mur-like, catalytic domain superfamily"
IPR036615,2,2,2,"Mur ligase, C-terminal domain superfamily"
IPR044769,1,1,1,"1-phosphatidylinositol-3-phosphate 5-kinase, PIPK catalytic domain"
IPR020084,5,5,5,"NUDIX hydrolase, conserved site"
IPR020476,1,1,2,NUDIX hydrolase
IPR016642,1,1,1,"26S proteasome regulatory complex, non-ATPase subcomplex, Rpn2/Psmd1 subunit"
IPR035266,1,1,1,26S Proteasome non-ATPase regulatory subunit 1
IPR040623,1,1,1,"26S proteasome regulatory subunit RPN2, C-terminal"
IPR000537,2,3,2,UbiA prenyltransferase family
IPR006369,1,0,1,Protohaem IX farnesyltransferase
IPR044878,2,2,2,UbiA prenyltransferase superfamily
IPR004698,1,2,2,"Zinc/iron permease, fungal/plant"
IPR032429,1,1,1,"Nibrin, second BRCT domain"
IPR040227,1,1,1,Nibrin-related
IPR043014,1,1,0,"Nibrin, second BRCT domain superfamily"
IPR000212,1,2,1,"DNA helicase, UvrD/REP type"
IPR013986,1,2,1,DExx box DNA helicase domain superfamily
IPR014016,1,2,1,"UvrD-like helicase, ATP-binding domain"
IPR014017,1,2,1,"UvrD-like DNA helicase, C-terminal"
IPR044609,1,1,1,Peptidyl-prolyl cis-trans isomerase FKBP2/11
IPR002737,1,1,1,MEMO1 family
IPR005511,1,2,1,Senescence marker protein-30 (SMP-30)
IPR013658,3,9,7,SMP-30/Gluconolactonase/LRE-like region
IPR013715,1,1,1,Domain of unknown function DUF1746
IPR038967,1,1,1,DSC E3 ubiquitin ligase complex subunit 4-like
IPR013525,7,11,9,ABC-2 type transporter
IPR043926,5,9,10,ABC transporter family G domain
IPR001766,6,4,5,Fork head domain
IPR012971,1,1,1,"Nucleolar GTP-binding protein 2, N-terminal domain"
IPR024929,1,1,1,Nucleolar GTP-binding protein 2
IPR007667,2,2,2,"Hypoxia induced protein, domain"
IPR001721,1,1,1,"Threonine dehydratase, ACT-like domain"
IPR005787,1,1,1,"Threonine dehydratase, biosynthetic"
IPR038110,1,1,1,"Threonine dehydratase, ACT-like domain superfamily"
IPR045865,6,8,7,ACT-like domain
IPR037457,1,1,1,M28 Zn-Peptidase Glutaminyl Cyclase
IPR040234,1,2,1,Glutaminyl-peptide cyclotransferase-like
IPR025363,1,4,2,Protein of unknown function DUF4267
IPR001189,2,1,2,Manganese/iron superoxide dismutase
IPR019831,2,1,2,"Manganese/iron superoxide dismutase, N-terminal"
IPR019833,1,1,2,"Manganese/iron superoxide dismutase, binding site"
IPR032477,1,1,3,"Beta-1,3-glucanase, N-terminal"
IPR037398,1,1,3,"Glucan endo-1,3-beta-glucosidase"
IPR042517,1,1,3,"Beta-1,3-glucanase, N-terminal, subdomain 2"
