,Coniosporium_tulheliwenetii,Neophaeococcomyces_mojaviensis,Taxawa_tesnikishii,descriptions
PF01061,7,11,8,ABC-2 type transporter
PF08153,1,1,1,NGP1NT (NUC091) domain
PF04588,1,2,1,Hypoxia induced protein conserved region
PF00585,1,1,1,C-terminal regulatory domain of Threonine dehydratase
PF14087,1,4,2,Domain of unknown function (DUF4267)
PF00081,2,1,2,"Iron/manganese superoxide dismutases, alpha-hairpin domain"
PF16483,1,1,2,"Beta-1,3-glucanase"
PF04095,1,1,1,Nicotinate phosphoribosyltransferase (NAPRTase) family
PF17767,1,1,1,Nicotinate phosphoribosyltransferase (NAPRTase) N-terminal domain
PF01184,2,4,7,GPR1/FUN34/yaaH family
PF00804,2,1,2,Syntaxin
PF20246,4,2,0,Family of unknown function (DUF6601)
PF07720,2,1,1,Tetratricopeptide repeat
PF17874,1,2,0,MalT-like TPR region
PF00384,2,2,2,Molybdopterin oxidoreductase
PF01568,1,2,1,Molydopterin dinucleotide binding domain
PF03676,1,1,0,Phagosome assembly factor 1
PF10568,2,2,2,Outer mitochondrial membrane transport complex protein
PF17171,2,2,2,"Glutathione S-transferase, C-terminal domain"
PF14308,1,1,1,X-domain of DnaJ-containing
PF16655,2,2,1,"PhoD-like phosphatase, N-terminal domain"
PF01652,3,2,3,Eukaryotic initiation factor 4E
PF05007,1,1,1,Mannosyltransferase (PIG-M)
PF01997,2,1,1,Translin family
PF00494,3,3,3,Squalene/phytoene synthase
PF13472,1,4,6,GDSL-like Lipase/Acylhydrolase family
PF03074,2,2,1,Glutamate-cysteine ligase
PF07519,4,11,6,Tannase and feruloyl esterase
PF20571,1,0,1,Domain of unknown function (DUF6780)
PF02136,1,2,2,Nuclear transport factor 2 (NTF2) domain
PF07792,1,1,1,Docking domain of Afi1 for Arf3 in vesicle trafficking
PF08616,1,2,1,Stabilization of polarity axis
PF13405,3,5,6,EF-hand domain
PF01204,2,1,1,Trehalase
PF13555,1,0,1,P-loop containing region of AAA domain
PF18592,1,0,1,Tho1/MOS11 C-terminal domain
PF07297,1,0,1,Dolichol phosphate-mannose biosynthesis regulatory protein (DPM2)
PF05462,2,2,0,Slime mold cyclic AMP receptor
PF11710,2,1,2,G protein-coupled glucose receptor regulating Gpa2
PF00233,1,1,1,3'5'-cyclic nucleotide phosphodiesterase
PF01192,1,1,1,RNA polymerase Rpb6
PF00756,2,4,1,Putative esterase
PF00183,1,1,1,Hsp90 protein
PF00814,2,1,2,tRNA N6-adenosine threonylcarbamoyltransferase
PF17254,1,1,1,Family of unknown function (DUF5321)
PF00245,1,2,2,Alkaline phosphatase
PF02127,2,2,2,Aminopeptidase I zinc metalloprotease (M18)
PF13344,3,3,4,Haloacid dehalogenase-like hydrolase
PF13391,9,2,0,HNH endonuclease
PF10446,1,1,1,Protein of unknown function (DUF2457)
PF16122,1,1,1,40S ribosomal protein SA C-terminus
PF04124,1,1,1,Dor1-like family
PF09816,1,1,1,RNA polymerase II transcription elongation factor
PF00275,1,2,1,EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)
PF08587,1,1,1,Ubiquitin associated domain (UBA)
PF00098,4,3,10,Zinc knuckle
PF01644,3,3,3,Chitin synthase
PF08407,3,3,3,Chitin synthase N-terminal
PF01451,1,0,1,Low molecular weight phosphotyrosine protein phosphatase
PF09463,1,1,0,Opy2 protein
PF00576,1,1,1,HIUase/Transthyretin family
PF11787,1,1,1,Aft1 HRR domain
PF01083,2,1,5,Cutinase
PF04065,1,1,1,"Not1 N-terminal domain, CCR4-Not complex component"
PF04153,2,2,2,NOT2 / NOT3 / NOT5 family
PF02580,1,1,1,D-Tyr-tRNA(Tyr) deacylase
PF02301,2,3,3,HORMA domain
PF06421,1,1,1,GTP-binding protein LepA C-terminus
PF00614,3,3,3,Phospholipase D Active site motif
PF05700,1,1,0,Breast carcinoma amplified sequence 2 (BCAS2)
PF04734,1,1,1,"Neutral/alkaline non-lysosomal ceramidase, N-terminal"
PF17048,1,1,0,"Neutral/alkaline non-lysosomal ceramidase, C-terminal"
PF10513,2,2,2,Enhancer of polycomb-like
PF13771,2,3,3,PHD-like zinc-binding domain
PF13831,1,2,2,PHD-finger
PF13832,2,3,3,PHD-zinc-finger like domain
PF08389,3,2,4,Exportin 1-like protein
PF19282,1,1,0,Exportin-T
PF10602,2,2,2,26S proteasome subunit RPN7
PF03531,1,1,1,Structure-specific recognition protein (SSRP1)
PF08512,3,3,3,Histone chaperone Rttp106-like
PF17292,1,1,1,POB3-like N-terminal PH domain
PF09830,1,1,1,ATP adenylyltransferase C-terminal domain
PF19327,1,1,1,Ap4A phosphorylase N-terminal domain
PF03568,1,1,1,Peptidase family C50
PF12770,3,3,0,CHAT domain
PF05004,1,0,1,Interferon-related developmental regulator (IFRD)
PF09260,2,0,1,"Alpha-amylase, domain C"
PF14632,1,1,1,Acidic N-terminal SPT6
PF14633,1,1,1,SH2 domain
PF14635,1,2,1,Helix-hairpin-helix motif
PF14639,1,1,1,Holliday-junction resolvase-like of SPT6
PF14641,1,1,1,Helix-turn-helix DNA-binding domain of SPT6
PF11937,2,2,2,Protein of unknown function (DUF3455)
PF10180,1,1,1,WKF domain
PF04707,2,2,2,PRELI-like family
PF00250,5,4,5,Forkhead domain
PF12658,1,1,0,"Telomere capping, CST complex subunit"
PF13468,1,1,1,Glyoxalase-like domain
PF02197,1,0,1,Regulatory subunit of type II PKA R-subunit
PF16561,2,1,3,Glycogen recognition site of AMP-activated protein kinase
PF05724,1,1,1,Thiopurine S-methyltransferase (TPMT)
PF00463,1,2,2,Isocitrate lyase family
PF13714,2,11,4,Phosphoenolpyruvate phosphomutase
PF07492,1,1,1,Neutral trehalase Ca2+ binding domain
PF01381,1,2,0,Helix-turn-helix
PF08523,1,1,1,Multiprotein bridging factor 1
PF06658,1,1,1,Protein of unknown function (DUF1168)
PF00210,2,0,0,Ferritin-like domain
PF01268,1,1,1,Formate--tetrahydrofolate ligase
PF02882,1,1,2,"Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain"
PF17897,1,0,0,Vanadium chloroperoxidase N-terminal domain
PF00959,2,3,0,Phage lysozyme
PF01992,1,1,1,ATP synthase (C/AC39) subunit
PF01416,2,2,2,tRNA pseudouridine synthase
PF08487,2,1,0,Vault protein inter-alpha-trypsin domain
PF13757,2,1,0,Vault protein inter-alpha-trypsin domain
PF13768,3,3,1,von Willebrand factor type A domain
PF00206,4,8,3,Lyase
PF10397,2,3,2,Adenylosuccinate lyase C-terminus
PF03534,1,2,0,Salmonella virulence plasmid 65kDa B protein
PF12256,1,2,0,Insecticide toxin TcdB middle/N-terminal region
PF18276,1,2,0,Tc toxin complex TcA C-terminal TcB-binding domain
PF18413,1,1,0,Neuraminidase-like domain
PF20220,1,2,0,ABC toxin N-terminal region
PF12754,1,1,1,Blt1 N-terminal domain
PF17183,1,1,1,Get5 carboxyl domain
PF01189,3,3,3,16S rRNA methyltransferase RsmB/F
PF17125,1,1,1,N-terminal domain of 16S rRNA methyltransferase RsmF
PF00696,3,2,3,Amino acid kinase family
PF01842,2,3,2,ACT domain
PF13840,2,3,1,ACT domain
PF13892,1,0,1,DNA-binding domain
PF05032,1,1,1,Spo12 family
PF01730,2,1,0,UreF
PF05071,2,2,1,NADH ubiquinone oxidoreductase subunit NDUFA12
PF08293,1,1,1,Mitochondrial ribosomal subunit S27
PF04424,1,1,1,MINDY deubiquitinase
PF04189,1,0,1,Gcd10p family
PF04062,1,0,1,ARP2/3 complex ARPC3 (21 kDa) subunit
PF03663,2,7,4,Glycosyl hydrolase family 76
PF08320,1,1,1,PIG-X / PBN1
PF06682,1,1,0,SOCE-associated regulatory factor of calcium homoeostasis
PF00586,1,1,1,"AIR synthase related protein, N-terminal domain"
PF02769,2,2,2,"AIR synthase related protein, C-terminal domain"
PF08510,1,1,1,PIG-P
PF04511,1,2,2,Der1-like family
PF02493,1,2,1,MORN repeat
PF01916,1,0,1,Deoxyhypusine synthase
PF06645,1,0,1,Microsomal signal peptidase 12 kDa subunit (SPC12)
PF00800,1,1,1,Prephenate dehydratase
PF03463,2,1,2,eRF1 domain 1
PF03464,2,1,2,eRF1 domain 2
PF03465,2,1,2,eRF1 domain 3
PF18854,1,1,1,Bacterial archaeo-eukaryotic release factor family 10
PF18859,1,1,1,Actinobacteria/chloroflexi VLRF1 release factor
PF11968,1,1,1,"25S rRNA (adenine(2142)-N(1))-methyltransferase, Bmt2"
PF03939,1,1,0,"Ribosomal protein L23, N-terminal domain"
PF15375,1,1,1,Domain of unknown function (DUF4602)
PF05181,1,1,1,XPA protein C-terminus
PF10032,1,1,1,Phosphate transport (Pho88)
PF13347,2,2,0,MFS/sugar transport protein
PF00479,1,1,1,"Glucose-6-phosphate dehydrogenase, NAD binding domain"
PF02781,1,1,1,"Glucose-6-phosphate dehydrogenase, C-terminal domain"
PF05129,1,0,2,Transcription elongation factor Elf1 like
PF00925,2,1,2,GTP cyclohydrolase II
PF12471,1,0,1,GTP cyclohydrolase N terminal
PF01015,1,1,1,Ribosomal S3Ae family
PF01725,1,1,1,Ham1 family
PF13238,1,3,3,AAA domain
PF02403,2,2,2,Seryl-tRNA synthetase N-terminal domain
PF00956,2,2,2,Nucleosome assembly protein (NAP)
PF07910,1,1,1,Peptidase family C78
PF04982,1,1,1,HPP family
PF08634,1,1,1,Mitochondrial protein Pet127
PF01509,2,3,2,TruB family pseudouridylate synthase (N terminal domain)
PF08068,1,1,1,DKCLD (NUC011) domain
PF16198,1,2,1,tRNA pseudouridylate synthase B C-terminal domain
PF02213,2,2,1,GYF domain
PF08232,1,1,1,Striatin family
PF04248,1,3,2,Domain of unknown function (DUF427)
PF06058,1,1,1,Dcp1-like decapping family
PF10230,1,1,0,Lipid-droplet associated hydrolase
PF07249,2,0,0,Cerato-platanin
PF04048,1,0,1,Sec8 exocyst complex component specific domain
PF09362,4,3,4,Domain of unknown function (DUF1996)
PF00832,1,0,1,Ribosomal L39 protein
PF03109,3,6,4,ABC1 atypical kinase-like domain
PF12745,1,0,1,Anticodon binding domain of tRNAs
PF11500,1,0,1,Cut12 conserved domain
PF10357,1,0,1,Domain of Kin17 curved DNA-binding protein
PF04739,1,1,1,"5'-AMP-activated protein kinase beta subunit, interaction domain"
PF09273,1,0,1,Rubisco LSMT substrate-binding
PF03399,2,2,1,SAC3/GANP family
PF11001,1,1,1,Protein of unknown function (DUF2841)
PF07061,1,1,1,Swi5
PF16131,1,1,1,Torus domain
PF08880,1,1,1,QLQ
PF14619,1,1,1,"Snf2-ATP coupling, chromatin remodelling complex"
PF00056,3,3,2,"lactate/malate dehydrogenase, NAD binding domain"
PF02866,3,3,2,"lactate/malate dehydrogenase, alpha/beta C-terminal domain"
PF08698,1,0,1,Fcf2 pre-rRNA processing
PF08726,1,1,1,Ca2+ insensitive EF hand
PF11971,1,1,1,CAMSAP CH domain
PF00786,2,2,2,P21-Rho-binding domain
PF02728,1,1,2,"Copper amine oxidase, N3 domain"
PF20143,3,3,3,ATP-NAD kinase C-terminal domain
PF08122,1,1,0,NADH-ubiquinone oxidoreductase B12 subunit family
PF04882,1,1,1,Peroxin-3
PF07855,1,1,0,Autophagy-related protein 101
PF05131,1,1,1,Pep3/Vps18/deep orange family
PF01960,1,1,0,ArgJ family
PF09088,1,1,1,MIF4G like
PF09090,1,1,1,MIF4G like
PF16015,1,1,1,Promethin
PF01195,1,1,0,Peptidyl-tRNA hydrolase
PF02257,1,0,1,RFX DNA-binding domain
PF03199,1,0,2,Eukaryotic glutathione synthase
PF03917,1,0,2,"Eukaryotic glutathione synthase, ATP binding domain"
PF13886,1,1,0,Domain of unknown function (DUF4203)
PF10256,1,1,1,Golgin subfamily A member 7/ERF4 family
PF11262,1,1,1,Transcription factor/nuclear export subunit protein 2
PF11732,1,1,1,Transcription- and export-related complex subunit
PF16134,1,1,1,THO complex subunit 2 N-terminus
PF03079,1,1,1,ARD/ARD' family
PF01466,2,1,1,"Skp1 family, dimerisation domain"
PF03931,2,2,1,"Skp1 family, tetramerisation domain"
PF01134,1,1,1,Glucose inhibited division protein A
PF13932,1,1,1,tRNA modifying enzyme MnmG/GidA C-terminal domain
PF00436,1,1,1,Single-strand binding protein family
PF04180,1,1,1,Low temperature viability protein
PF09346,1,1,1,SMI1 / KNR4 family (SUKH-1)
PF01778,2,1,2,Ribosomal L28e protein family
PF09435,1,1,1,Fungal protein of unknown function (DUF2015)
PF04091,1,0,1,Exocyst complex subunit Sec15-like
PF04059,1,1,1,RNA recognition motif 2
PF19316,1,1,1,GPI ethanolamine phosphate transferase membrane region
PF01321,1,0,1,Creatinase/Prolidase N-terminal domain
PF16188,1,0,1,C-terminal region of peptidase_M24
PF16189,1,0,1,Creatinase/Prolidase N-terminal domain
PF01680,1,0,1,SOR/SNZ family
PF08581,1,1,1,Tup N-terminal
PF14324,1,1,1,PINIT domain
PF10338,1,1,1,Protein of unknown function (DUF2423)
PF02200,1,1,1,STE like transcription factor
PF08652,1,1,1,RAI1 like PD-(D/E)XK nuclease
PF04190,1,1,1,Golgi to ER traffic protein 4
PF00475,1,1,0,Imidazoleglycerol-phosphate dehydratase
PF01125,1,1,0,G10 protein
PF06293,1,0,2,Lipopolysaccharide kinase (Kdo/WaaP) family
PF02076,1,0,1,Pheromone A receptor
PF09288,1,0,0,Fungal ubiquitin-associated domain
PF16899,1,1,1,Cyclin C-terminal domain
PF15963,1,1,1,Myb DNA-binding like
PF08647,1,1,1,BRE1 E3 ubiquitin ligase
PF14447,1,0,1,Prokaryotic RING finger family 4
PF10354,1,1,0,rRNA (uridine-N3-)-methyltransferase BTM5-like
PF01937,2,2,1,Damage-control phosphatase ARMT1-like domain
PF16916,2,1,2,Dimerisation domain of Zinc Transporter
PF00928,4,4,4,Adaptor complexes medium subunit family
PF13380,2,1,1,CoA binding domain
PF16199,1,1,1,Radical_SAM C-terminal domain
PF02421,1,3,0,Ferrous iron transport protein B
PF16897,2,2,1,C-terminal region of MMR_HSR1 domain
PF06870,1,1,1,A49-like RNA polymerase I associated factor
PF03702,3,1,0,Anhydro-N-acetylmuramic acid kinase
PF14737,1,1,1,Domain of unknown function (DUF4470)
PF11885,3,4,3,Protein of unknown function (DUF3405)
PF05916,2,4,3,GINS complex protein
PF04922,1,1,1,DIE2/ALG10 family
PF00450,3,9,12,Serine carboxypeptidase
PF01264,1,1,1,Chorismate synthase
PF04910,1,1,1,Transcriptional repressor TCF25
PF03162,1,1,1,Tyrosine phosphatase family
PF13136,1,1,1,Protein of unknown function (DUF3984)
PF08245,1,0,0,Mur ligase middle domain
PF01026,2,2,3,TatD related DNase
PF05238,1,1,0,Kinetochore protein CHL4 like
PF03645,1,1,1,Tctex-1 family
PF02656,2,7,4,Domain of unknown function (DUF202)
PF03690,1,1,1,Uncharacterised protein family (UPF0160)
PF08426,1,1,1,ICE2
PF04667,1,1,0,cAMP-regulated phosphoprotein/endosulfine conserved region
PF04252,1,1,1,Predicted SAM-dependent RNA methyltransferase
PF00344,1,2,1,SecY
PF10559,1,1,1,Plug domain of Sec61p
PF04098,1,1,1,Rad52/22 family double-strand break repair protein
PF09811,2,2,2,"Essential protein Yae1, N terminal"
PF19303,1,2,1,Anticodon binding domain of methionyl tRNA ligase
PF10375,1,0,1,GRAB domain
PF01783,1,0,0,Ribosomal L32p protein family
PF05495,2,2,2,CHY zinc finger
PF14599,1,1,1,Zinc-ribbon
PF01198,1,1,1,Ribosomal protein L31e
PF10303,1,1,1,Protein of unknown function (DUF2408)
PF06159,1,1,0,Protein of unknown function (DUF974)
PF03455,1,1,1,dDENN domain
PF08432,1,1,1,AAA-ATPase Vps4-associated protein 1
PF14698,1,1,1,Argininosuccinate lyase C-terminal
PF16901,1,1,1,C-terminal domain of alpha-glycerophosphate oxidase
PF01058,1,1,1,"NADH ubiquinone oxidoreductase, 20 Kd subunit"
PF17242,1,1,1,Disordered region of unknown function (DUF5315)
PF08660,1,0,1,Oligosaccharide biosynthesis protein Alg14 like
PF09779,1,0,1,Ima1 N-terminal domain
PF08267,1,1,1,"Cobalamin-independent synthase, N-terminal domain"
PF14523,1,0,1,Syntaxin-like protein
PF04614,1,1,1,Pex19 protein family
PF18376,1,1,1,Mevalonate 5-diphosphate decarboxylase C-terminal domain
PF19031,1,1,1,"First Longin domain of INTU, CCZ1 and HPS4"
PF04564,2,2,3,U-box domain
PF10408,1,1,1,Ubiquitin elongating factor core
PF09320,1,1,1,Domain of unknown function (DUF1977)
PF10484,1,0,0,Mitochondrial ribosomal protein S23
PF02441,2,1,1,Flavoprotein
PF15924,1,0,1,ALG11 mannosyltransferase N-terminus
PF10369,1,1,1,Small subunit of acetolactate synthase
PF13710,1,1,1,ACT domain
PF12505,1,2,1,Protein of unknown function (DUF3712)
PF01756,1,3,2,Acyl-CoA oxidase
PF06916,1,1,1,FAM210A/B-like domain
PF14749,1,3,2,Acyl-coenzyme A oxidase N-terminal
PF12222,1,0,0,Peptide N-acetyl-beta-D-glucosaminyl asparaginase amidase A
PF00892,4,0,2,EamA-like transporter family
PF10497,1,1,1,Zinc-finger domain of monoamine-oxidase A repressor R1
PF03795,1,1,1,YCII-related domain
PF12454,1,1,1,GPI-anchored cell wall organization protein
PF02271,1,1,1,Ubiquinol-cytochrome C reductase complex 14kD subunit
PF09159,1,1,1,Mitochondrial resolvase Ydc2 / RNA splicing MRS1
PF08557,1,1,1,Sphingolipid Delta4-desaturase (DES)
PF05345,1,1,0,Putative Ig domain
PF00317,1,0,1,"Ribonucleotide reductase, all-alpha domain"
PF02867,1,0,1,"Ribonucleotide reductase, barrel domain"
PF03477,1,0,1,ATP cone domain
PF08315,1,0,1,cwf18 pre-mRNA splicing factor
PF13917,2,0,1,Zinc knuckle
PF12752,1,0,1,SUZ domain
PF05093,1,0,1,"Cytokine-induced anti-apoptosis inhibitor 1, Fe-S biogenesis"
PF16803,1,0,1,Fe-S cluster assembly protein DRE2 N-terminus
PF16282,1,1,1,SANT/Myb-like domain of DAMP1
PF01467,3,4,4,Cytidylyltransferase-like
PF06862,1,1,1,"Utp25, U3 small nucleolar RNA-associated SSU processome protein 25"
PF13012,3,4,3,Maintenance of mitochondrial structure and function
PF10309,1,1,1,Nuclear cap-binding protein subunit 3
PF08982,1,1,1,Acetylaranotin biosynthesis cluster protein L
PF01918,2,1,0,Alba
PF04420,1,0,1,CHD5-like protein
PF01946,1,1,1,Thi4 family
PF04006,1,0,1,Mpp10 protein
PF09359,2,3,3,VTC domain
PF00490,1,1,1,Delta-aminolevulinic acid dehydratase
PF06842,1,0,0,Protein of unknown function (DUF1242)
PF08689,1,0,1,Mediator complex subunit Med5
PF17050,1,1,1,Altered inheritance of mitochondria 5
PF01196,1,2,1,Ribosomal protein L17
PF02812,1,1,1,"Glu/Leu/Phe/Val dehydrogenase, dimerisation domain"
PF05794,1,2,1,T-complex protein 11
PF08645,1,1,1,Polynucleotide kinase 3 phosphatase
PF06741,1,1,1,LsmAD domain
PF14438,1,1,2,Ataxin 2 SM domain
PF08559,1,1,1,"Cut8, nuclear proteasome tether protein"
PF04762,1,0,1,IKI3 family
PF00733,2,1,2,Asparagine synthase
PF01459,2,2,2,Eukaryotic porin
PF08767,1,1,1,CRM1 C terminal
PF18777,1,1,1,Chromosome region maintenance or exportin repeat
PF18784,1,1,1,CRM1 / Exportin repeat 2
PF18787,1,1,1,CRM1 / Exportin repeat 3
PF07557,1,1,1,Shugoshin C terminus
PF07558,1,1,1,Shugoshin N-terminal coiled-coil region
PF08654,1,1,1,DASH complex subunit Dad2
PF08570,1,1,1,Protein of unknown function (DUF1761)
PF03097,2,2,2,BRO1-like domain
PF13949,2,2,2,ALIX V-shaped domain binding to HIV
PF03177,2,1,2,Non-repetitive/WGA-negative nucleoporin C-terminal
PF08801,2,1,1,Nup133 N terminal like
PF12931,1,1,0,Sec23-binding domain of Sec16
PF12932,1,1,1,Vesicle coat trafficking protein Sec16 mid-region
PF16209,4,3,3,Phospholipid-translocating ATPase N-terminal
PF12929,1,1,1,Stretch-activated Ca2+-permeable channel component
PF11699,1,2,1,Mif2/CENP-C like
PF15624,1,2,2,"Kinetochore CENP-C fungal homologue, Mif2, N-terminal"
PF14560,1,2,1,Ubiquitin-like domain
PF19047,1,1,1,HOOK domain
PF01351,1,2,1,Ribonuclease HII
PF03644,1,0,1,Glycosyl hydrolase family 85
PF00810,2,2,2,ER lumen protein retaining receptor
PF02696,1,1,1,Protein adenylyltransferase SelO
PF14630,1,1,1,Origin recognition complex (ORC) subunit 5 C-terminus
PF04515,2,2,2,Plasma-membrane choline transporter
PF08797,2,2,2,HIRAN domain
PF00806,4,4,4,Pumilio-family RNA binding repeat
PF08449,4,3,5,UAA transporter family
PF09280,1,1,1,XPC-binding domain
PF07923,1,1,1,N1221-like protein
PF11882,1,1,1,Domain of unknown function (DUF3402)
PF08236,1,0,1,SRI (Set2 Rpb1 interacting) domain
PF17907,2,1,2,AWS domain
PF02517,1,2,1,Type II CAAX prenyl endopeptidase Rce1-like
PF07778,1,0,0,Mis6
PF11779,1,1,0,Small subunit of serine palmitoyltransferase-like
PF00472,2,3,1,RF-1 domain
PF01833,1,0,1,IPT/TIG domain
PF05572,1,1,0,Pregnancy-associated plasma protein-A
PF08610,1,1,0,Peroxisomal membrane protein (Pex16)
PF01966,1,5,2,HD domain
PF07975,1,1,1,TFIIH C1-like domain
PF12271,2,2,1,Chitin synthase export chaperone
PF11654,1,0,1,Non-classical export protein 1
PF02991,1,1,1,Autophagy protein Atg8 ubiquitin like
PF04110,1,1,2,Ubiquitin-like autophagy protein Apg12
PF01218,1,1,1,Coproporphyrinogen III oxidase
PF00310,1,2,0,Glutamine amidotransferases class-II
PF01493,1,2,1,GXGXG motif
PF01645,1,2,1,Conserved region in glutamate synthase
PF04898,1,2,1,Glutamate synthase central domain
PF14691,1,2,1,"Dihydroprymidine dehydrogenase domain II, 4Fe-4S cluster"
PF09649,1,2,1,Histone chaperone domain CHZ
PF12341,1,1,1,"Minichromosome loss protein, Mcl1, middle region"
PF10333,1,0,0,GPI-Mannosyltransferase II co-activator
PF08626,1,0,0,"Transport protein Trs120 or TRAPPC9, TRAPP II complex subunit"
PF12449,1,1,1,Protein of unknown function (DUF3684)
PF05935,2,1,3,Arylsulfotransferase (ASST)
PF08573,1,1,0,DNA endonuclease activator SAE2/CtIP C-terminus
PF02375,1,1,2,jmjN domain
PF00755,2,2,2,Choline/Carnitine o-acyltransferase
PF05879,1,0,1,Root hair defective 3 GTP-binding protein (RHD3) GTPase domain
PF20428,1,1,1,Sey1 three-helix bundle domain
PF01693,1,1,1,Caulimovirus viroplasmin
PF04037,1,1,1,Domain of unknown function (DUF382)
PF04046,1,1,0,PSP
PF08613,3,7,5,Cyclin
PF09757,1,1,1,Arb2 domain
PF02936,1,1,1,Cytochrome c oxidase subunit IV
PF02800,1,2,1,"Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain"
PF00188,2,3,1,Cysteine-rich secretory protein family
PF03572,1,4,0,Peptidase family S41
PF09441,1,0,1,ARS binding protein 2
PF09751,1,1,1,Nuclear protein Es2
PF01912,1,0,1,eIF-6 family
PF03796,1,1,0,DnaB-like helicase C terminal domain
PF06068,1,1,2,TIP49 P-loop domain
PF03641,1,1,1,Possible lysine decarboxylase
PF05602,1,1,1,Cleft lip and palate transmembrane protein 1 (CLPTM1)
PF09326,1,1,1,"NADH-ubiquinone oxidoreductase subunit G, C-terminal"
PF10588,1,1,0,NADH-ubiquinone oxidoreductase-G iron-sulfur binding region
PF13510,1,1,1,2Fe-2S iron-sulfur cluster binding domain
PF03378,1,1,1,"CAS/CSE protein, C-terminus"
PF08506,1,1,1,Cse1
PF02145,1,1,1,Rap/ran-GAP
PF03542,1,1,1,Tuberin
PF09430,1,0,1,"ER membrane protein complex subunit 7, beta-sandwich domain"
PF11864,1,1,1,Domain of unknown function (DUF3384)
PF06102,1,1,1,rRNA biogenesis protein RRP36
PF00887,2,2,2,Acyl CoA binding protein
PF17119,1,1,1,Mitochondrial protein up-regulated during meiosis
PF06747,1,2,0,CHCH domain
PF13634,2,2,2,Nucleoporin FG repeat region
PF13874,1,1,0,Nucleoporin complex subunit 54
PF18570,1,1,1,NUP57/Nup54 C-terminal domain
PF10443,1,1,1,RNA12 protein
PF03190,1,1,1,"Protein of unknown function, DUF255"
PF02806,2,1,1,"Alpha amylase, C-terminal all-beta domain"
PF02922,2,1,1,Carbohydrate-binding module 48 (Isoamylase N-terminal domain)
PF12584,1,1,1,"Trafficking protein particle complex subunit 10, TRAPPC10"
PF00112,1,0,0,Papain family cysteine protease
PF17733,1,1,0,Family of unknown function (DUF5572)
PF09532,2,1,1,FDF domain
PF12701,1,1,1,Scd6-like Sm domain
PF09796,1,1,1,Ubiquinol-cytochrome-c reductase complex subunit (QCR10)
PF10345,1,1,1,Cohesin loading factor
PF06093,1,1,1,Spt4/RpoE2 zinc finger
PF08321,1,1,0,PPP5 TPR repeat region
PF13173,1,1,1,AAA domain
PF05645,1,0,1,RNA polymerase III subunit RPC82
PF08221,1,1,1,RNA polymerase III subunit RPC82 helix-turn-helix domain
PF04627,1,1,1,Mitochondrial ATP synthase epsilon chain
PF04112,1,1,1,"Mak10 subunit, NatC N(alpha)-terminal acetyltransferase"
PF04133,1,1,1,Vacuolar protein sorting 55
PF05255,1,1,1,Uncharacterised protein family (UPF0220)
PF14475,1,1,1,Sec1-binding region of Mso1
PF12068,1,1,1,Rab-binding domain (RBD)
PF09428,1,1,1,Fungal protein of unknown function (DUF2011)
PF04005,1,1,1,Hus1-like protein
PF10396,1,1,0,GTP-binding protein TrmE N-terminus
PF12631,1,1,1,MnmE helical domain
PF04874,1,0,1,Mak16 protein C-terminal region
PF02181,1,1,1,Formin Homology 2 Domain
PF06367,1,1,1,Diaphanous FH3 Domain
PF06371,2,2,1,Diaphanous GTPase-binding Domain
PF13603,1,0,0,"Leucyl-tRNA synthetase, Domain 2"
PF10483,1,1,0,Elongator subunit Iki1
PF08648,1,1,1,U4/U6.U5 small nuclear ribonucleoproteins
PF03200,1,1,1,Glycosyl hydrolase family 63 C-terminal domain
PF16923,1,1,1,Glycosyl hydrolase family 63 N-terminal domain
PF20210,1,0,1,Laa1/Sip1/HEATR5 HEAT repeat region
PF01709,1,1,0,Transcriptional regulator
PF09803,1,1,1,Pet100
PF08312,1,1,1,cwf21 domain
PF07065,1,0,1,D123
PF00246,3,3,1,Zinc carboxypeptidase
PF08609,1,1,1,Nucleotide exchange factor Fes1
PF04934,1,1,1,MED6 mediator sub complex component
PF18596,1,0,1,Sld7 C-terminal domain
PF06983,1,1,0,3-demethylubiquinone-9 3-methyltransferase
PF10067,2,1,1,Predicted membrane protein (DUF2306)
PF02630,1,0,1,SCO1/SenC
PF00253,2,1,2,Ribosomal protein S14p/S29e
PF01747,1,1,1,ATP-sulfurylase
PF14306,1,1,1,PUA-like domain
PF06428,3,2,2,GDP/GTP exchange factor Sec2p
PF01984,1,0,1,Double-stranded DNA-binding domain
PF05019,1,0,1,Coenzyme Q (ubiquinone) biosynthesis protein Coq4
PF02558,2,7,4,Ketopantoate reductase PanE/ApbA
PF08546,2,6,5,Ketopantoate reductase PanE/ApbA C terminal
PF14260,2,1,1,C4-type zinc-finger of DNA polymerase delta
PF11708,1,1,1,Pre-mRNA splicing Prp18-interacting factor
PF08644,1,1,1,FACT complex subunit (SPT16/CDC68)
PF14826,1,1,1,FACT complex subunit SPT16 N-terminal lobe domain
PF04749,1,1,0,PLAC8 family
PF00984,1,3,2,"UDP-glucose/GDP-mannose dehydrogenase family, central domain"
PF03720,1,1,1,"UDP-glucose/GDP-mannose dehydrogenase family, UDP binding domain"
PF03721,1,3,3,"UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain"
